Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta
3.717,0.068,-0.041,16.460,21.358,-177.128,0.018,-0.011,0.021,238.627,
3.760,0.075,-0.042,1.876,6.932,177.685,0.180,-0.027,0.182,261.387,
3.807,0.075,-0.043,-0.496,4.973,176.765,-0.010,-0.023,0.025,113.935,
3.850,0.073,-0.043,1.264,5.803,176.268,-0.038,0.012,0.040,72.516,
3.894,0.071,-0.042,-0.437,2.973,176.198,-0.048,0.029,0.056,58.568,
3.939,0.071,-0.042,-0.756,3.337,176.225,0.003,-0.010,0.011,195.720,
3.984,0.072,-0.043,0.493,5.238,176.037,0.024,-0.022,0.032,227.797,
4.029,0.074,-0.043,0.906,6.073,176.024,0.031,0.004,0.031,352.484,
4.073,0.075,-0.042,-0.193,3.962,176.426,0.036,0.021,0.042,329.758,
4.119,0.077,-0.042,-0.314,4.070,176.551,0.029,0.005,0.030,349.975,
4.163,0.078,-0.042,0.460,5.527,176.397,0.022,-0.003,0.023,262.359,
4.207,0.078,-0.041,0.591,5.487,176.408,0.017,0.008,0.019,333.836,
4.293,0.075,-0.042,-0.714,4.882,176.164,-0.039,-0.004,0.039,173.556,
4.335,0.071,-0.044,-1.665,4.127,175.859,-0.095,-0.041,0.104,156.609,
4.376,0.065,-0.046,-2.502,4.646,175.351,-0.136,-0.052,0.145,158.901,
4.416,0.061,-0.048,-3.147,4.809,174.999,-0.115,-0.047,0.124,157.625,
4.457,0.057,-0.047,-1.994,5.872,174.327,-0.087,0.025,0.090,73.629,
4.577,0.064,-0.011,3.795,4.505,175.443,0.058,0.297,0.303,281.026,
4.618,0.064,-0.001,-2.725,1.081,176.028,-0.016,0.232,0.232,3.906,
4.781,0.074,-0.035,-5.415,11.657,176.511,0.062,-0.204,0.213,196.896,
4.820,0.077,-0.034,-1.887,11.451,176.962,0.081,0.018,0.083,347.311,
4.858,0.069,-0.036,-6.646,12.635,176.867,-0.218,-0.061,0.227,164.330,
4.898,0.055,-0.037,-3.706,15.165,175.530,-0.341,-0.029,0.342,175.097,
4.939,0.052,-0.033,-1.566,17.108,175.262,-0.085,0.098,0.130,40.752,
4.979,0.057,-0.026,-3.968,16.072,176.133,0.137,0.175,0.222,307.923,
5.019,0.060,-0.016,-5.114,16.071,176.976,0.086,0.257,0.271,288.502,
5.056,0.062,-0.011,-3.274,16.304,176.852,0.034,0.135,0.139,284.374,
5.095,0.057,-0.006,-4.938,18.340,176.807,-0.122,0.142,0.187,40.670,
5.172,0.032,-0.005,-5.860,15.800,175.857,-0.332,0.009,0.332,88.384,
5.252,0.007,-0.022,-5.088,21.670,175.023,-0.305,-0.212,0.371,145.118,
5.295,0.005,-0.025,-3.419,22.928,174.041,-0.058,-0.068,0.089,130.680,
5.336,0.006,-0.023,-4.262,25.088,174.147,0.036,0.051,0.063,305.523,
5.379,0.008,-0.021,-2.385,24.258,174.152,0.034,0.050,0.060,304.123,
5.419,0.007,-0.021,-2.546,23.170,174.397,-0.023,-0.014,0.026,148.979,
5.461,0.005,-0.025,-2.670,23.180,174.421,-0.047,-0.086,0.098,118.561,
5.502,0.004,-0.029,-2.273,23.037,174.209,-0.028,-0.096,0.100,106.133,
5.543,0.004,-0.029,-2.390,23.289,174.278,0.017,0.002,0.017,353.134,
5.584,0.007,-0.024,-2.297,23.513,174.863,0.075,0.114,0.137,303.416,
5.625,0.012,-0.018,-6.205,21.057,176.774,0.110,0.151,0.187,306.149,
5.664,0.012,-0.018,-2.332,21.145,175.876,-0.005,-0.009,0.010,122.330,
5.705,0.011,-0.020,-2.144,22.212,175.707,-0.026,-0.045,0.052,119.726,
5.746,0.010,-0.021,-1.746,22.483,175.642,-0.006,-0.015,0.016,113.060,
5.786,0.010,-0.019,-1.670,22.060,175.796,-0.007,0.042,0.042,9.654,
5.827,0.010,-0.019,-1.534,21.270,175.778,-0.012,0.007,0.014,60.911,
5.867,0.009,-0.020,-0.949,21.195,175.616,-0.026,-0.026,0.036,135.438,
5.906,0.008,-0.020,-1.049,21.801,175.519,-0.012,-0.014,0.018,130.181,
5.949,0.009,-0.019,-1.249,22.055,175.572,0.023,0.020,0.031,320.063,
5.990,0.009,-0.018,-0.987,21.600,175.742,0.007,0.021,0.022,288.479,
6.032,0.009,-0.018,-1.172,21.203,175.670,-0.010,0.002,0.010,81.197,
6.073,0.009,-0.018,-2.013,21.692,175.710,-0.004,0.003,0.005,55.086,
6.114,0.009,-0.017,-1.547,21.789,175.701,-0.001,0.020,0.020,4.061,
6.155,0.009,-0.017,-1.485,21.931,175.632,-0.001,-0.001,0.001,132.087,
6.196,0.009,-0.018,-1.173,21.697,175.524,-0.002,-0.010,0.011,99.721,
6.247,0.009,-0.018,-1.569,21.351,175.703,0.007,-0.006,0.009,227.430,
6.286,0.010,-0.018,-1.672,21.355,175.984,0.021,-0.000,0.021,269.523,
6.327,0.010,-0.019,-1.467,21.835,175.857,-0.003,-0.007,0.008,115.308,
6.368,0.009,-0.019,-1.625,22.356,175.730,-0.006,-0.012,0.013,114.582,
6.410,0.009,-0.019,-1.406,22.188,175.696,-0.011,-0.004,0.012,159.175,
6.453,0.009,-0.019,-1.684,21.927,175.791,-0.001,0.015,0.015,4.087,
6.493,0.009,-0.018,-1.126,21.693,175.750,0.003,0.023,0.023,277.742,
6.534,0.009,-0.018,-0.664,21.399,175.752,0.006,-0.013,0.015,205.207,
6.579,0.009,-0.020,-0.933,21.551,176.062,0.003,-0.048,0.048,184.055,
6.619,0.009,-0.023,-1.179,21.280,176.121,0.000,-0.068,0.068,180.165,
6.661,0.010,-0.025,-0.930,21.386,176.109,0.008,-0.046,0.047,189.414,
6.702,0.013,-0.027,-1.161,22.442,176.553,0.081,-0.045,0.093,240.946,
6.743,0.015,-0.026,-0.764,22.681,176.655,0.040,0.017,0.044,336.794,
6.784,0.018,-0.024,-0.617,23.037,177.095,0.086,0.048,0.098,330.536,
6.826,0.022,-0.019,-0.808,22.138,177.661,0.095,0.118,0.151,308.746,
6.866,0.025,-0.014,-0.870,22.208,178.269,0.080,0.136,0.157,300.505,
6.906,0.027,-0.008,-0.930,22.151,178.336,0.038,0.134,0.139,285.704,
7.108,0.044,0.069,-1.021,16.899,-178.749,0.085,0.381,0.391,282.532,
7.156,0.043,0.076,-0.873,14.628,-178.977,-0.030,0.143,0.146,11.978,
7.196,0.041,0.084,2.039,17.727,-179.213,-0.037,0.216,0.219,9.684,
7.512,0.026,0.088,0.304,12.305,177.912,-0.049,0.011,0.050,77.967,
7.559,0.029,0.091,-0.105,13.941,178.295,0.071,0.078,0.105,312.174,
7.607,0.031,0.095,0.959,12.502,178.597,0.049,0.073,0.088,304.041,
7.654,0.031,0.093,-1.881,11.517,179.284,-0.011,-0.036,0.037,106.677,
7.748,0.028,0.079,-1.065,12.312,178.584,-0.033,-0.146,0.149,102.797,
7.795,0.027,0.077,1.364,13.405,177.806,-0.004,-0.062,0.062,93.258,
7.845,0.028,0.078,1.516,13.913,177.872,0.003,0.025,0.025,275.829,
7.892,0.028,0.080,1.066,13.344,178.014,0.007,0.046,0.047,278.049,
7.939,0.028,0.081,1.850,12.173,178.070,0.002,0.019,0.019,276.441,
7.986,0.028,0.081,1.415,12.508,178.120,0.002,-0.005,0.006,205.481,
8.033,0.029,0.079,1.414,13.052,178.366,0.022,-0.043,0.048,207.180,
8.081,0.032,0.076,0.849,12.548,178.343,0.064,-0.056,0.085,228.792,
8.128,0.036,0.073,1.288,10.510,178.725,0.078,-0.055,0.096,234.803,
8.176,0.039,0.073,0.649,9.329,179.609,0.067,-0.006,0.067,264.754,
8.224,0.042,0.074,0.028,9.738,-179.805,0.051,0.020,0.055,338.770,
8.274,0.042,0.076,0.745,11.058,-179.578,0.013,0.036,0.038,290.507,
8.321,0.041,0.075,1.474,11.670,-179.718,-0.030,-0.008,0.031,165.398,
8.368,0.037,0.073,2.428,10.029,-179.423,-0.079,-0.047,0.091,149.248,
8.414,0.034,0.071,1.945,8.376,-179.009,-0.066,-0.054,0.085,140.670,
8.464,0.033,0.069,1.833,7.619,-179.055,-0.020,-0.039,0.043,116.769,
8.508,0.035,0.067,2.016,7.812,-179.513,0.034,-0.034,0.048,224.498,
8.558,0.039,0.066,2.562,7.260,179.993,0.093,-0.028,0.098,253.074,
8.655,0.048,0.065,2.932,8.234,-179.961,0.095,-0.013,0.096,262.025,
8.699,0.050,0.066,3.656,8.125,-179.742,0.034,0.033,0.047,316.386,
8.745,0.052,0.065,4.968,7.185,-179.545,0.046,-0.021,0.050,245.518,
8.792,0.055,0.062,5.151,5.528,-178.928,0.062,-0.063,0.088,224.393,
8.904,0.061,0.048,-1.529,4.567,-178.024,0.053,-0.122,0.133,203.400,
8.997,0.055,0.012,-11.330,-12.009,-171.384,-0.064,-0.389,0.394,99.363,
